acute triangle,Shape
annulus,Shape
bipyramid,Shape
cardioid,Shape
circle,Shape
concave polygon,Shape
cone,Shape
convex polygon,Shape
crescent,Shape
cube,Shape
cuboid,Shape
cylinder,Shape
decagon,Shape
disc,Shape
dodecahedron,Shape
dot,Shape
ellipse,Shape
ellipsoid,Shape
equilateral triangle,Shape
gnomon,Shape
heart,Shape
helix,Shape
heptagon,Shape
hexaflexagon,Shape
hexagon,Shape
hexagonal prism,Shape
hexahedron,Shape
hyperboloid,Shape
hypersphere,Shape
icosahedron,Shape
isosceles triangle,Shape
kite,Shape
Klein bottle,Shape
line,Shape
line segment,Shape
lozenge,Shape
möbius strip,Shape
nonagon,Shape
obtuse triangle,Shape
octagon,Shape
octahedron,Shape
orb,Shape
oval,Shape
paraboloid,Shape
parallelepiped,Shape
parallelogram,Shape
pentagon,Shape
plane,Shape
point,Shape
polygon,Shape
polyhedra,Shape
prism,Shape
pyramid,Shape
quadrilateral,Shape
ray,Shape
rectangle,Shape
regular polygon,Shape
regular polyhedra,Shape
rhombus,Shape
right triangle,Shape
round,Shape
scalene triangle,Shape
sector,Shape
semicircle,Shape
shape,Shape
sphere,Shape
spheroid,Shape
square,Shape
star,Shape
tetrahedron,Shape
tesseract,Shape
torus,Shape
trapezium,Shape
trapezoid,Shape
triangle,Shape
wedge,Shape
